NAME,PER,RA,DEC,STAR,MSTAR,TEFF,DIST
Kepler-1611 b,5.1762429,19.76746944447358,49.72777777777778,Kepler-1611,0.94,5605,686
Kepler-1284 b,0.66407381,19.4186000000106,47.68763888888888,Kepler-1284,0.84,5123,852
HD 200964 b,613.8,21.11105277803209,3.802997222211626,HD 200964,1.57,5082,72.2022
Kepler-706 b,41.40831347,19.45069444444444,41.94408333354526,Kepler-706,0.87,5394,810
HD 147018 b,44.236,16.38343611111243,-61.68799444463517,HD 147018,0.927,5441,42.9553
HD 218566 b,225.7,23.15287777768241,-2.26050833384196,HD 218566,0.85,4820,28.5551
HD 45364 b,226.93,6.427344444062975,-31.48092500050862,HD 45364,0.82,5434,32.6904
Kepler-1177 b,106.247547,19.11142777760824,49.40627777788374,Kepler-1177,0.98,5712,829
Kepler-1364 b,13.32196237,19.67681388854981,49.58761111100515,Kepler-1364,1.49,6805,1149
Kepler-653 b,14.70748976,18.81419444402059,46.71780555552907,Kepler-653,1.02,5665,593
Kepler-553 b,4.03046804,19.90338888883591,48.33244444423252,Kepler-553,0.92,5266,725
Kepler-361 b,8.486616,19.78690000004239,46.74114999983046,Kepler-361,,6169,
Kepler-318 c,11.815007,19.89885000016954,46.79361944410536,Kepler-318,,5746,
Kepler-372 b,6.849692,19.4170805555582,49.25895000033908,Kepler-372,,6509,
Kepler-197 e,25.209715,19.6817611111535,50.55898055606418,Kepler-197,,6004,
HD 141937 b,653.21997,15.87152499993642,-18.43612222221163,HD 141937,1.048,5846.82,32.2997
Kepler-405 c,29.726682,19.42729999966092,38.34001944435968,Kepler-405,,5818,
Kepler-104 d,51.755394,19.17363888899486,42.16678055555456,Kepler-104,,5711,
Kepler-702 b,10.52629406,19.591875,41.66177777820163,Kepler-702,0.9,5419,892
Kepler-26 d,3.543919,18.99606944402059,46.5665388891432,Kepler-26,,4486,
Kepler-159 b,10.139623,19.80468055566152,40.8687888888518,Kepler-159,,4625,
HD 156668 b,4.6455,17.29459444469876,29.2266999997033,HD 156668,0.772,4850,24.4738
MOA-2009-BLG-387L b,1970,17.89744444423252,-33.99027777777778,MOA-2009-BLG-387L,0.19,,5700
Kepler-1045 b,26.41045478,18.94555277824402,45.07411111089919,Kepler-1045,0.86,5301,971
Kepler-905 b,5.08274652,19.33674166679382,46.71336111068726,Kepler-905,0.95,5461,521
Kepler-763 b,1.19655156,19.47629722171359,47.15736111111111,Kepler-763,0.84,5166,902
Kepler-1376 b,5.30880656,19.13056111123827,42.54138888888889,Kepler-1376,0.98,5659,864
Kepler-32 f,0.74296,19.85616027779049,46.57424999978807,Kepler-32,0.54,3793,303
WASP-103 b,0.925542,16.6209916665819,7.183352777777861,WASP-103,1.22,6110,470
