NAME,PER,RA,DEC,STAR,MSTAR,TEFF,DIST
Kepler-392 b,5.341853,19.24405000050863,43.36808055559794,Kepler-392,,5938,
Kepler-247 c,9.439452,19.24283055517409,43.03928888903724,Kepler-247,,5100,
Kepler-1076 b,6.14727918,19.17267222245534,51.06058333290947,Kepler-1076,0.79,4868,199
HD 164922 b,1155,18.04183611128066,26.31446666717529,HD 164922,0.927,5385.36,22.119
Kepler-271 b,5.217738,18.8668611111078,44.28423055556085,Kepler-271,,5524,
Kepler-30 c,60.3231,19.01891000005934,38.9472777779897,Kepler-30,0.99,5498,
Kepler-190 c,3.763024,19.23893888897366,44.73379999998543,Kepler-190,,5106,
tau Gru b,1311,22.89381666713291,-48.59808888859219,tau Gru,1.238,5999.24,32.6158
WASP-34 b,4.3176782,11.02663722250197,-23.86063888867696,WASP-34,1.01,5700,120
Kepler-397 c,135.498527,19.72626944435967,42.3804499997033,Kepler-397,,5307,
HD 96063 b,361.1,11.07901111072964,-2.513175000084771,HD 96063,1.41,5131,158
Kepler-490 b,3.26869515,19.66837777773539,46.95600000010597,Kepler-490,1.08,6045,1249
Kepler-1466 b,31.1750448,19.32208055549198,44.60986111111112,Kepler-1466,1.01,5884,686
Kepler-630 b,161.4743937,19.56180277824402,39.94244444423251,Kepler-630,1.02,5829,657
Kepler-423 b,2.68432848,19.52371611118317,46.3911666668786,Kepler-423,1.07,5790,
HAT-P-22 b,3.21222,10.3787747224172,50.12833333333333,HAT-P-22,0.916,5302,82.0001
51 Eri b,,4.626697222391765,-2.473391666412354,51 Eri,1.75,,29.4291
Kepler-1374 b,10.65276707,19.42333333333334,45.17227777798971,Kepler-1374,0.85,5323,1135
Kepler-1041 b,24.7576421,19.59211666689978,49.68316666709052,Kepler-1041,1.06,5957,979
WASP-28 b,3.40883,23.57440833356645,-1.580055555767483,WASP-28,1.021,6150,410
Kepler-221 b,2.795906,19.77698055585225,46.83526944438616,Kepler-221,,5243,
CoRoT-7 b,0.85359163,6.730408333672417,-1.063027778201633,CoRoT-7,0.93,5275,149.925
Kepler-1418 b,22.4764425,18.86649722205268,41.67855555534363,Kepler-1418,0.77,4770,499
HD 5608 b,792.6,0.9706083332167732,33.95105833331744,HD 5608,1.66,4911,56.3698
Kepler-584 b,35.1810304,19.21537222226461,42.41361111111111,Kepler-584,1.17,6195,1445
Kepler-733 b,20.83424726,19.53455277774069,45.9146944448683,Kepler-733,0.9,5418,980
Kepler-172 e,35.118736,18.89123055564033,41.82186111132305,Kepler-172,,5526,
Kepler-1200 b,1.11854972,19.7735638888677,44.12924999978807,Kepler-1200,0.74,4612,579
Kepler-178 b,9.576694,19.14006944444444,46.89648055606418,Kepler-178,,5676,
Kepler-1207 b,13.68237119,19.67095000002119,49.35900000042385,Kepler-1207,1.06,5909,946
Kepler-147 c,33.416423,19.19838055504693,39.08718055566152,Kepler-147,,6012,
Kepler-1096 b,2.89221751,19.64729166666667,45.96949999994702,Kepler-1096,0.66,4306,344
Kepler-1491 b,16.5861762,19.57531666649712,45.74063888867696,Kepler-1491,1,5728,1312
HATS-1 b,3.446459,11.70168888886769,-23.35483333322737,HATS-1,0.986,5870,303
Kepler-1559 b,0.97191543,19.48577222214805,42.07244444423252,Kepler-1559,0.86,5316,580
Kepler-378 c,28.906009,19.6632388888465,46.43863888899485,Kepler-378,,4661,
HD 80606 b,111.4367,9.377091666327583,50.60370555559794,HD 80606,0.958,5572.51,58.4795
Kepler-471 b,5.01423457,19.93983611106873,43.4975833331214,Kepler-471,1.49,6733,1373
Kepler-158 b,16.709184,18.93548055556085,39.78133055580987,Kepler-158,,4623,
Kepler-1511 b,23.2382792,19.22808055559794,43.17980555534363,Kepler-1511,1.17,6064,897
Kepler-45 b,2.455239,19.52485972245534,41.06424999978807,Kepler-45,0.59,3820,333
Kepler-68 b,5.398763,19.40215666664971,49.04024999989404,Kepler-68,1.079,5793,135
Kepler-1195 b,8.49642241,18.95673888895247,40.85297222216924,Kepler-1195,0.74,4965,812
Kepler-665 b,16.01310205,19.80170833335983,48.47858333375719,Kepler-665,0.79,4913,651
Kepler-950 b,98.7180406,19.19710555606418,41.13033333354526,Kepler-950,1.02,5857,1489
Kepler-308 b,9.694928,19.71901111099455,40.43954999976688,Kepler-308,,5895,
WASP-78 b,2.17517656,4.250418055554231,-22.11641666624281,WASP-78,1.33,6100,550
Kepler-108 c,190.323494,19.63728055556615,46.06233055538601,Kepler-108,,5854,
HD 86264 b,1475,9.949402777353923,-15.89496111128065,HD 86264,1.4,6326,68.7758
Kepler-942 b,44.96417488,19.66367499987284,44.14980555534363,Kepler-942,0.81,4861,218
Kepler-266 c,107.723601,19.63228888935513,44.16691111110978,Kepler-266,,5885,
Kepler-1094 b,78.1000231,19.48675000005298,38.26702777776453,Kepler-1094,1.14,6112,1371
Kepler-1194 b,16.22371307,19.44663611094157,38.14527777777778,Kepler-1194,0.94,5590,616
8 UMi b,93.4,14.94675555547079,74.90091388887829,8 UMi,1.8,4847.4,160
Kepler-1291 b,8.63043276,19.2918027777142,40.0011388888624,Kepler-1291,0.84,5216,982
Kepler-239 c,56.228098,19.61348055521647,40.66341111077202,Kepler-239,,4914,
Kepler-524 b,7.97419807,19.79061388863458,49.16205555597941,Kepler-524,1.09,6014,730
HD 82943 c,219.3,9.580758333206177,-12.12912222226461,HD 82943,1.133,5997.1,27.4725
Kepler-205 c,20.306546,19.01913888878292,41.86116944419013,Kepler-205,,4321,
Kepler-319 b,4.362705,19.25413055552377,39.7706611111429,Kepler-319,,5526,
Kepler-162 c,19.446355,19.81858888891008,43.72401944425371,Kepler-162,,5816,
Kepler-126 c,21.869741,19.28981944455041,44.20851111094157,Kepler-126,,6239,
HD 216536 b,148.6,22.88443666663435,44.4775,HD 216536,1.36,4639,
Kepler-728 b,5.74347727,19.40615833335453,45.11552777820163,Kepler-728,0.95,5660,1236
Kepler-384 c,45.348269,19.06841111116939,44.78286944495307,Kepler-384,,5577,
Kepler-669 b,4.12554687,19.46241111119588,49.2539722222752,Kepler-669,1.15,6038,1778
Kepler-1046 b,14.37508035,19.78371666666535,46.99827777756585,Kepler-1046,1.04,5913,518
iota Hor b,302.8,2.709211111068726,-50.80082777778307,iota Hor,1.145,6097.36,17.1674
Kepler-716 b,10.37168453,19.35954722192552,43.36388888888889,Kepler-716,0.83,5099,675
HD 37124 d,1862,5.617372222211626,20.73180833286709,HD 37124,0.85,5500.24,33.67
Kepler-853 b,7.16892463,18.92912222226461,49.11033333354526,Kepler-853,1.3,6350,610
Kepler-690 b,7.74809437,19.63266111161974,39.77144444465637,Kepler-690,1.11,5913,1653
Kepler-1500 b,15.0330105,19.25888888888889,39.74458333333333,Kepler-1500,1,5845,904
Kepler-1316 b,87.9732136,19.92239166683621,40.29313888867696,Kepler-1316,1.04,5884,753
Kepler-921 b,51.300634,18.97441388871934,49.19080555544959,Kepler-921,0.93,5663,847
HD 192263 b,24.3556,20.2333000002967,-0.8675138888756434,HD 192263,0.804,4975.16,19.3162
K2-3 c,24.6454,11.4889966668023,-1.454786110983954,K2-3,0.601,3896,45
HD 204313 b,1920.1,21.47005000008477,-21.7255944442749,HD 204313,1.045,5767,47.3709
Kepler-1079 b,13.24503188,19.96996666669845,45.76975000010597,Kepler-1079,1.08,5758,481
Kepler-771 b,8.73485836,19.16293888939751,38.08844444433849,Kepler-771,1.03,5906,1000
Kepler-212 c,31.805174,19.17471944438087,43.14165000014835,Kepler-212,,5852,
Kepler-53 c,38.5583038,19.36411833339267,40.56244444423251,Kepler-53,0.98,5858,
Kepler-707 b,2.23749275,19.33383888890346,42.11647222201029,Kepler-707,0.8,5099,626
Kepler-1211 b,11.01816836,19.04805277824402,40.85697222232819,Kepler-1211,0.96,5705,1486
Kepler-321 b,4.915379,19.63026111072964,44.14596944491068,Kepler-321,,5740,
Kepler-1442 b,81.4162941,19.41703888889816,48.84697222179837,Kepler-1442,1.34,6394,525
Kepler-402 d,8.921099,19.22468055566152,43.35461111121707,Kepler-402,,6090,
Kepler-339 d,10.558345,19.55678055551317,48.44463888910082,Kepler-339,,5631,
Kepler-407 b,0.6693109,19.06908972210354,49.61450000021193,Kepler-407,1,5476,
Kepler-756 b,1.22486632,19.3738638888465,41.20108333335983,Kepler-756,0.82,5282,852
TrES-3 b,1.30619,17.86861666666137,37.54616666687859,TrES-3,0.915,5650,245.098
Kepler-188 b,2.061897,18.75198055558734,44.31553055551317,Kepler-188,,6021,
HIP 14810 b,6.673859,3.187286110983954,21.09748888863458,HIP 14810,0.99,5485,53.4474
Kepler-695 b,3.04033042,19.95440555546019,40.82236111111111,Kepler-695,0.84,5181,620
Kepler-10 c,45.29485,19.04529527770148,50.24130555576748,Kepler-10,0.895,5627,173
HD 90156 b,49.77,10.39869444423252,-29.64577222188314,HD 90156,0.84,5599,22.3514
Kepler-786 b,53.5293487,19.58293055534363,38.93927777767181,Kepler-786,0.81,4838,512
Kepler-259 c,36.924931,19.21413055525885,46.615,Kepler-259,,5938,
Kepler-444 b,3.6001053,19.31679722222189,41.63613888899485,Kepler-444,0.758,5046,35.7
Kepler-550 b,8.60010411,19.8466833337148,47.86375,Kepler-550,0.87,5322,563
Kepler-304 d,9.653471,19.62945000012716,40.55758888880411,Kepler-304,,4731,
Kepler-150 e,30.826557,19.21561111132304,40.52089999993642,Kepler-150,,5560,
Kepler-218 c,44.699576,19.69418888939752,46.26646944469876,Kepler-218,,5502,
Pr 211 b,2.1451,8.703192222118377,19.27702777756585,Pr 211,0.952,5326,170
Kepler-203 b,3.162697,19.80600000010596,41.38803055551317,Kepler-203,,5821,
Kepler-981 b,4.46975774,19.28326111157735,47.65011111111276,Kepler-981,0.98,5718,913
Kepler-6 b,3.234723,19.78915027777354,48.23994444423252,Kepler-6,1.209,5647,
Kepler-501 b,5.64067757,19.81343611081441,41.73019444465638,Kepler-501,1.03,5904,1044
Kepler-244 d,20.050401,19.14951111157735,42.30136944439676,Kepler-244,,5554,
24 Sex c,910,10.39120277775658,-0.9021611111693912,24 Sex,1.81,5069,77.4593
Kepler-358 b,34.060467,19.54868055555556,48.28136944452921,Kepler-358,,5908,
Kepler-373 c,16.725948,19.2925305557251,50.5970500002967,Kepler-373,,5787,
HATS-13 b,3.0440499,21.13076444413927,-26.09638888888889,HATS-13,0.962,5523,476
Kepler-466 c,3.70921385,19.70991388850742,48.49555555555555,Kepler-466,1.04,5927,436
Kepler-1074 b,5.94566534,18.96510277748108,46.25258333338631,Kepler-1074,0.6,4002,245
Kepler-807 b,117.93108781,19.26801111115349,48.11980555560854,Kepler-807,1.04,5965,1312
HD 60532 c,604,7.567558333343929,-22.29618055555556,HD 60532,1.44,6095,25.2972
Kepler-299 b,2.927128,18.88046111106873,48.58049999978807,Kepler-299,,5617,
Kepler-939 b,14.878296,19.59104166666667,47.02683333290948,Kepler-939,0.88,5471,1029
Kepler-1389 b,99.2530951,19.04782777786255,44.75841666645474,Kepler-1389,0.81,5078,521
Kepler-140 c,91.353282,19.15796944459279,46.76821944448683,Kepler-140,,6077,
Kepler-23 d,15.274299,19.61460000038147,49.47921944406298,Kepler-23,,5828,
Kepler-1048 b,6.92101021,18.79322222179837,42.16577777756585,Kepler-1048,0.75,4651,415
Kepler-89 c,10.423648,19.82220388889313,41.89111111111111,Kepler-89,1.277,6182,
WASP-95 b,2.184673,22.49714722209507,-48.00305555555556,WASP-95,1.11,5830,
Kepler-831 b,5.62153941,19.66570000012716,42.72766666624281,Kepler-831,0.99,5732,577
HD 68988 b,6.27711,8.306116666793823,61.46064444435967,HD 68988,1.124,5960.48,54.5256
Kepler-84 b,8.726,19.8834697222213,40.49605555534363,Kepler-84,1,5755,
Kepler-637 b,23.20584623,19.49448333316379,41.4168888888922,Kepler-637,1.64,6096,1575
HAT-P-26 b,4.234516,14.21042694409688,4.060027777353922,HAT-P-26,0.816,5079,134
Kepler-1252 b,15.0540329,19.93002222273085,46.6928055551317,Kepler-1252,1.06,5949,828
Kepler-292 f,20.834237,19.71773888885975,42.42428055551317,Kepler-292,,5299,
Kepler-847 b,2.3432319,18.90031944443782,49.45102777779103,Kepler-847,0.83,4940,529
Kepler-1355 b,1.28958811,18.91609444406297,49.06797222216925,Kepler-1355,0.88,5352,963
Kepler-20 e,6.098493,19.17986777729458,42.33869444423252,Kepler-20,0.912,5466,290
Kepler-296 d,19.850242,19.10266944434908,49.43733055565092,Kepler-296,,4249,
HD 149143 b,4.072,16.54751666704814,2.085038888851802,HD 149143,1.2,5884,62.0347
Kepler-688 b,3.89593684,19.64368333286709,39.30836111121707,Kepler-688,0.98,5715,1247
Kepler-62 d,18.16406,18.88084972169664,45.34986111111111,Kepler-62,0.69,4925,368
Kepler-713 b,7.411141,19.71010000016954,43.02983333375719,Kepler-713,0.98,5785,1003
HD 79498 b,1966.1,9.252633333206177,23.37592777782016,HD 79498,1.06,5740,46.1042
Kepler-89 e,54.32031,19.82220388889313,41.89111111111111,Kepler-89,1.277,6182,
Kepler-722 b,4.09357325,19.35088611112701,44.55644444465637,Kepler-722,1.03,5863,1375
Kepler-556 b,11.72292176,19.36863055560324,38.94266666624281,Kepler-556,1,5740,729
Kepler-883 b,12.98495573,19.0955777782864,50.30033333334658,Kepler-883,1.06,6116,549
Kepler-1181 b,4.89337519,19.31648888905843,39.52347222222222,Kepler-1181,1.17,6176,867
Kepler-1336 c,5.77721211,19.75184722224871,46.89986111111111,Kepler-1336,0.94,5512,822
Kepler-897 b,8.0472642,19.37245555559794,51.69583333333333,Kepler-897,1.03,5839,1147
Kepler-298 d,77.473633,18.86931944449743,48.82536111089919,Kepler-298,,4465,
Kepler-269 b,5.326718,19.34768055597941,41.77596944491069,Kepler-269,,5847,
Kepler-248 b,6.308205,19.53743055555556,43.58136111153497,Kepler-248,,5190,
HD 181433 c,962,19.4194166665607,-66.46937222215864,HD 181433,0.78,4962,26.7594
Kepler-1375 b,3.3004192,19.7529027777248,43.40327777783076,Kepler-1375,1.47,6704,1238
Kepler-454 b,10.57,19.1652347225613,38.22884444448683,Kepler-454,1.028,5701,
70 Vir b,116.6884,13.47387500021193,13.78018888897366,70 Vir,1.101,5544.6,17.9856
HD 102365 b,122.1,11.775625,-40.50133333338631,HD 102365,0.89,5630,9.22084
BD -08 2823 b,5.6,10.0133166662852,-9.516741666669647,BD -08 2823,0.74,4746,42.4989
Kepler-1276 b,12.5720095,19.19046666675144,40.5471944448683,Kepler-1276,1.14,6188,587
Kepler-797 b,27.07237711,19.81393055597941,41.78169444402059,Kepler-797,0.96,5680,752
Kepler-160 b,4.309427,19.18489999996291,42.86928055551317,Kepler-160,,5857,
Kepler-1066 b,1.93155984,19.92443888876173,46.50225000010597,Kepler-1066,0.98,5762,399
Kepler-1318 b,213.257663,19.35842222213745,41.15075000001325,Kepler-1318,0.73,4598,475
CoRoT-11 b,2.99433,18.71248611132304,5.937694444391463,CoRoT-11,1.27,6440,558.971
Kepler-369 c,14.871572,19.57828055593702,47.9084611108568,Kepler-369,,3591,
Kepler-142 d,41.809118,19.67458888901605,48.4812805557251,Kepler-142,,5790,
Kepler-1415 b,0.63642408,19.01046111106873,47.87333333333333,Kepler-1415,0.89,5267,1066
Kepler-398 b,4.081423,19.43123888863458,40.34385000016955,Kepler-398,,4493,
Kepler-443 b,177.6693,19.24070277796852,49.9686388888624,Kepler-443,0.738,4723,779
Kepler-746 b,3.48159251,19.37881666713291,37.35511111100515,Kepler-746,0.91,5418,450
Kepler-1348 b,27.5722742,19.47249722215864,49.78877777788374,Kepler-1348,1.04,5911,1033
Kepler-299 d,15.054786,18.88046111106873,48.58049999978807,Kepler-299,,5617,
GJ 436 b,2.64385,11.70291944450802,26.70854722234938,GJ 436,0.452,3350,10.141
Kepler-1231 b,10.41725184,19.23922499974569,42.6056666665607,Kepler-1231,1.01,5778,948
Kepler-142 c,4.761702,19.67458888901605,48.4812805557251,Kepler-142,,5790,
Kepler-401 d,184.256405,19.33885000016954,50.86347222222222,Kepler-401,0,6117,0
Kepler-815 b,8.57503552,19.01474166658189,47.88138888888889,Kepler-815,1.25,5028,1199
Kepler-578 b,1.6168837,19.25033055557145,39.56366666687859,Kepler-578,0.87,5334,568
Kepler-181 c,4.302149,19.7434305551317,50.09581111060249,Kepler-181,,5333,
XO-2S b,18.157,7.802076944510142,50.2175,XO-2S,0.982,5399,
Kepler-364 b,25.745718,18.77133055580987,47.39868888854981,Kepler-364,,6108,
Kepler-173 c,8.005777,19.64311111132304,41.88411111109787,Kepler-173,,6031,
Kepler-609 b,6.52121067,19.48135555585225,44.7000277777782,Kepler-609,1.09,5971,1143
Kepler-1606 b,196.435224,19.09188333352407,43.07325000021193,Kepler-1606,0.9,5422,880
Kepler-290 b,14.589347,19.09400000042385,42.68155000050862,Kepler-290,,5147,
Kepler-926 b,52.0688601,19.31195555580987,40.70047222223547,Kepler-926,1.01,5806,771
Kepler-544 b,21.41616926,19.60193888889419,39.05183333330684,Kepler-544,1.16,6206,797
WASP-37 b,3.577469,14.79626666704814,1.064944444232517,WASP-37,0.925,5800,343
Kepler-223 c,9.848183,19.88788888878292,47.2794888888465,Kepler-223,,5829,
HD 6718 b,2496,1.13015277756585,-8.233752777775129,HD 6718,0.96,5746,54.8546
Kepler-224 e,18.643577,19.39561944431729,47.35760000016954,Kepler-224,,5018,
Kepler-322 c,4.337234,18.75658888869815,44.29523888905843,Kepler-322,,5388,
HD 33636 b,2127.7,5.196205555597941,4.403872222105663,HD 33636,1.017,5904.28,28.3688
Kepler-477 b,11.11990653,19.20450555536482,42.35536111089918,Kepler-477,0.87,5240,367
Kepler-1327 b,14.88801098,19.2709916665819,50.46097222222222,Kepler-1327,1.02,5885,688
Kepler-163 c,21.347262,19.66685000000729,46.98733055565092,Kepler-163,,5776,
Kepler-1128 b,61.6178167,19.53755555550257,39.40344444433848,Kepler-1128,0.94,5543,1163
HAT-P-40 b,4.457243,22.367527222236,45.45733333322737,HAT-P-40,1.512,6080,501
HD 240237 b,745.7,23.26172777811686,58.04325277752346,HD 240237,1.69,4361,
Kepler-494 b,8.02511821,19.81427222251892,41.66402777777778,Kepler-494,1.1,6007,862
Kepler-169 f,87.090195,19.06666111098395,40.91931944449743,Kepler-169,,4997,
Kepler-283 b,11.008151,19.57424999978807,47.83899999989404,Kepler-283,,4351,
rho CrB b,39.8449,16.0174444444312,33.30538888878292,rho CrB,0.965,5822.58,17.2354
Kepler-214 b,15.660544,18.98366111109654,44.95603055530125,Kepler-214,,6169,
Kepler-700 b,80.8720639,19.14361944410536,41.56577777756585,Kepler-700,0.98,5692,1061
Kepler-1549 b,214.886545,19.07016111108992,39.09605555534363,Kepler-1549,0.88,5324,792
Kepler-730 b,6.49168426,19.03698611100515,45.57886111153497,Kepler-730,1,5726,1455
Kepler-1515 b,214.3114164,19.39826111157735,48.17816666709052,Kepler-1515,1.3,6511,504
Kepler-1424 b,29.6091744,19.39944444444444,40.22933333290948,Kepler-1424,1.02,5838,620
Kepler-314 b,2.461069,19.64493888854981,42.07558055559794,Kepler-314,,5378,
Kepler-188 c,5.996553,18.75198055558734,44.31553055551317,Kepler-188,,6021,
Kepler-731 b,3.85560355,19.75954444461399,45.56855555560854,Kepler-731,1.03,5849,1311
Kepler-1338 b,0.93511806,18.93615555551317,41.69913888931274,Kepler-1338,1.04,5909,619
Kepler-233 b,8.472382,19.75776944425371,51.3195194445716,Kepler-233,,5360,
Kepler-1530 c,5.3227406,19.21083333333333,48.16516666624281,Kepler-1530,0.92,5477,552
Kepler-118 b,7.518496,19.94753888871935,41.42483055538601,Kepler-118,,5274,
Kepler-1440 b,39.859484,19.02313055568271,48.31224999957614,Kepler-1440,0.98,5698,685
Kepler-1513 b,160.88465087,19.31944166660309,39.28527777777778,Kepler-1513,0.99,5617,384
Kepler-110 b,12.691112,19.52861111111111,48.60281111107933,Kepler-110,,5960,
HD 11977 b,711,1.915558332867092,-67.64748055564033,HD 11977,2.31,5067,67.0691
Kepler-1192 b,25.2034787,18.80937222268846,43.89658333354526,Kepler-1192,0.86,5438,1108
Kepler-1382 b,16.3583055,19.69182499991523,39.04802777820163,Kepler-1382,1.36,6161,730
HD 73534 b,1770,8.654408333301545,12.96060277726915,HD 73534,1.17,4884,81.0373
Kepler-689 b,22.36656079,19.64737499978807,39.52174999978807,Kepler-689,0.91,5518,1044
Kepler-1643 b,5.34264507,20.02873333295186,44.75099999997351,Kepler-1643,0.92,5508,414
Kepler-195 b,8.307872,19.20806111123827,47.96666944444438,Kepler-195,,5329,
Kepler-498 b,9.61375356,19.35720833354526,44.51875,Kepler-498,0.98,5744,746
Kepler-50 c,9.3761368,19.20672694418165,50.03372222221559,Kepler-50,1.23,6058,
Kepler-863 b,15.59461874,19.84430277824402,43.24897222201029,Kepler-863,0.96,5678,1145
Kepler-1464 b,31.7785901,19.14904444482591,38.75416666666667,Kepler-1464,1.02,5828,692
HD 164604 b,606.4,18.05193055550258,-28.56054999987284,HD 164604,0.8,,41.0678
Kepler-1356 b,0.63400294,19.39968888918559,43.24394444465637,Kepler-1356,0.82,5106,881
Kepler-359 b,25.563222,19.55291111098396,42.19635000016954,Kepler-359,,6248,
TRAPPIST-1 b,1.510848,23.10813416692946,-49.07509444448684,TRAPPIST-1,0.08,2550,12.1095
Kepler-1201 b,15.18725932,19.64098888874054,40.83316666709052,Kepler-1201,1.15,6177,1202
Kepler-1594 b,2.71603809,19.57487222247654,47.96191666709053,Kepler-1594,1.06,5946,1100
Kepler-642 b,4.41745855,19.58896944469875,42.62497222211626,Kepler-642,1.4,6570,1022
Kepler-359 d,77.095691,19.55291111098396,42.19635000016954,Kepler-359,,6248,
Kepler-115 b,2.403679,19.84746111128065,45.26191944440206,Kepler-115,,5979,
OGLE-05-071L b,3600,17.83583333333333,-34.67305555555555,OGLE-05-071L,0.46,,3200
OGLE235-MOA53 b,,18.08787500010596,-28.895,OGLE235-MOA53,0.63,,5200
HD 37124 c,885.5,5.617372222211626,20.73180833286709,HD 37124,0.85,5500.24,33.67
HD 217107 c,4270,22.97098333332274,-2.395347222222222,HD 217107,1.108,5704.36,19.857
Kepler-1323 b,0.92990668,19.52481944455041,46.09888888888889,Kepler-1323,1.18,6169,530
HD 74156 b,51.638,8.70697500016954,4.578586111068725,HD 74156,1.238,6067.98,64.433
Kepler-928 b,3.9324613,19.32804722256131,41.54283333354526,Kepler-928,0.73,4700,532
Kepler-180 b,13.817124,19.70476111094157,49.77458055549198,Kepler-180,,5731,
HD 103774 b,5.8881,11.94879444440206,-12.10786111089918,HD 103774,1.335,6489,55.4631
Kepler-43 b,3.024095,19.0160583337148,46.66822222219573,Kepler-43,1.32,6041,1950
Kepler-76 b,1.545,19.6128077782525,39.61899999989404,Kepler-76,1.12,6409,
Kepler-310 b,13.930698,19.2559611108568,46.98673888895247,Kepler-310,,5797,
Kepler-222 c,10.08881,19.19373888863458,46.93776944451862,Kepler-222,,5433,
Kepler-1154 c,8.45808312,19.83180833286709,39.87724999957614,Kepler-1154,1.26,6327,1531
Kepler-538 b,81.73780699,19.83246111128065,49.62344444433848,Kepler-538,0.96,5650,165
KELT-6 b,7.8457,13.06545777744717,30.64002777788374,KELT-6,1.085,6102,222
WASP-13 b,4.3530135,9.340194999906753,33.88238888846504,WASP-13,1.09,5950,155
Kepler-683 b,2.53918318,19.42933333290948,37.9056666665607,Kepler-683,0.96,5703,976
Kepler-84 c,12.883,19.8834697222213,40.49605555534363,Kepler-84,1,5755,
Kepler-918 b,4.85386933,19.8800472217136,48.26783333328035,Kepler-918,1.11,6028,1245
Kepler-569 b,34.18890521,18.90048611111111,48.55261111100514,Kepler-569,0.95,5616,645
HD 13931 b,4218,2.279805555343628,43.77344166649712,HD 13931,1.022,5829,44.2282
Kepler-58 d,40.101371,19.75723888874054,39.11518888897366,Kepler-58,,6099,
HAT-P-18 b,5.508023,17.08976416640811,33.01247222264607,HAT-P-18,0.77,4803,166
Kepler-672 b,38.3774623,19.44813333299425,49.48088888910082,Kepler-672,0.95,5627,1011
Kepler-357 b,6.475434,19.41621111128065,44.0087194442749,Kepler-357,,5036,
Kepler-1518 b,5.11177904,20.02215833346049,44.98613888899485,Kepler-1518,1.54,6846,1140
Kepler-971 b,9.59070716,18.93963888910082,41.18283333354526,Kepler-971,0.88,5431,345
Kepler-406 c,4.62332,19.45653638892703,44.96822222219573,Kepler-406,1.07,5538,
HD 155358 c,391.9,17.15965833346049,33.35638055536482,HD 155358,0.87,5760,44.1112
WASP-43 b,0.813475,10.32722444428338,-9.80625,WASP-43,0.58,4400,80
Kepler-1570 b,26.548955,19.99078888893127,45.82736111111112,Kepler-1570,0.92,5550,463
Kepler-159 c,43.595792,19.80468055566152,40.8687888888518,Kepler-159,,4625,
Kepler-39 b,21.0874,19.79735222180685,46.03427777780427,Kepler-39,1.1,6260,1200.05
Kepler-920 c,100.8274113,18.95313055568271,49.1586666668786,Kepler-920,0.89,5403,926
14 And b,185.84,23.52144444465637,39.23640277783076,14 And,2.15,4813,79.1766
Kepler-1130 b,5.45298175,19.0138333331214,45.38436111112436,Kepler-1130,0.9,5403,234
Kepler-520 b,19.67416124,19.54535555521647,41.61775000002649,Kepler-520,1.1,6112,492
Kepler-1191 b,5.60014851,19.44385277748108,48.00930555555556,Kepler-1191,0.85,5308,876
Kepler-1012 b,5.50860439,19.28641666677263,46.45794444455041,Kepler-1012,0.95,5556,420
Kepler-1145 b,3.97076766,19.68721111112171,43.04441666709052,Kepler-1145,0.79,5064,714
Kepler-891 b,53.44945593,19.40558611128065,40.35524999989403,Kepler-891,1.06,5887,1372
Kepler-727 b,5.15448442,19.65646111117469,45.03441666669315,Kepler-727,0.89,5441,892
Kepler-215 b,9.360672,19.66489999983046,45.21368888854981,Kepler-215,,5739,
Kepler-294 b,3.701212,19.15946944448683,46.05931111123827,Kepler-294,,5913,
WASP-88 b,4.954,20.63408333334658,-48.46200000021193,WASP-88,1.45,6430,
Kepler-29 b,10.3376,19.88988833321465,47.49122222211626,Kepler-29,1,5750,
Kepler-792 b,11.30119217,19.46712222221825,38.82072222232819,Kepler-792,1.09,5971,1205
Kepler-975 b,1.97034246,19.36990277767181,38.49527777777778,Kepler-975,0.8,4897,404
Kepler-24 b,8.14561,19.36088444391887,38.34375,Kepler-24,1.03,5800,
Kepler-542 b,13.14497566,19.48100555525885,38.54858333375719,Kepler-542,0.93,5526,439
Kepler-306 b,4.646186,19.23591111103694,40.61614999983046,Kepler-306,,4954,
Kepler-656 b,1.26025909,19.22186111132304,47.38158333354526,Kepler-656,0.86,5281,867
Kepler-83 b,9.77,18.81549999978807,43.66563888867696,Kepler-83,0.66,4648,
Kepler-770 b,18.92540274,19.09936111132304,38.3749166668786,Kepler-770,0.94,5598,761
Kepler-489 b,17.27629612,19.38887777752347,38.18433333330684,Kepler-489,0.82,5014,379
81 Cet b,952.7,2.628272221883138,-3.396066666709052,81 Cet,1.74,4845,100.908
Kepler-1204 b,85.7350285,19.29609999974569,42.49813888867696,Kepler-1204,1.03,5825,1282
Kepler-1218 b,22.9221266,19.43859999974569,44.53172222243415,Kepler-1218,1.06,5986,667
Kepler-1043 b,38.5053398,18.77753333303663,47.56858333335983,Kepler-1043,0.92,5629,838
Kepler-1396 b,18.2206421,19.62243055555556,44.91830555558204,Kepler-1396,1.18,6195,1236
CoRoT-3 b,4.2568,19.47035138898426,0.1218333334392971,CoRoT-3,1.37,6740,833.333
Kepler-377 b,12.509529,19.69479999966092,38.73568888876174,Kepler-377,,5949,
Kepler-648 b,17.4211749,18.92664444393582,45.0168888888922,Kepler-648,1.05,5741,665
Kepler-910 b,2.36436901,19.73649166663488,42.74299999978808,Kepler-910,1.26,6230,402
Kepler-126 d,100.283134,19.28981944455041,44.20851111094157,Kepler-126,,6239,
