ra,dec,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,astrometric_sigma5d_max,astrometric_excess_noise,visibility_periods_used,astrometric_matched_observations,astrometric_n_good_obs_al,astrometric_sigma5d_max,bp_rp,g_rp,source_id,original_ext_source_id,tmass_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,tmass_oid,designation,ra,dec,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,j_date,source_id,original_ext_source_id,sdssdr9_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,sdssdr9_oid,obj_id,ra,dec,mjd,r_mag,r_mag_error,i_mag,i_mag_error,z_mag,z_mag_error,objc_type,source_id,original_ext_source_id,allwise_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,allwise_oid,designation,ra,dec,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,cc_flags,w1mjd_mean,w2mjd_mean,w3mjd_mean,tmass_key
47.928390723604316,-15.626622381620354,5154606546483045888,42.56349656789381,0.04167161321375691,103.10181312596669,0.0702431801013168,-182.06965378877723,0.08075780190846857,11.748123,0.053195618,0.0,9,15,135,0.053195618,2.4639788,1.122776,5154606546483045888,03114269-1537327,240121543,1,0,1,240121543,03114269-1537327,47.927909,-15.62576,9.127,0.026,8.549,0.049,8.253,0.038,2451054.8507,5154606546483045888,1237667244871516296,7978444,1,0,1,7978444,1237667244871516296,47.92804792071348,-15.626200624746764,53354.0,12.224055,0.0021221742,15.019233,0.19272259,11.269167,0.009179171,6,5154606546483045888,J031142.77-153734.8,291339922,1,0,1,291339922,J031142.77-153734.8,47.9282336,-15.6263537,8.054,0.021,7.881,0.017,7.859,0.017,hh00,55415.52379657,55418.95133035,55363.76175194,1294817542
299.46485087457967,-10.88601998683022,4189472728736232704,41.55962125076974,0.08072856389337323,-390.5006431942494,0.13707162615321955,-287.5264822744256,0.0889372978215635,12.852602,0.08625767,0.23607792478991851,12,26,224,0.08625767,3.0498781,1.2770796,4189472728736232704,19575199-1053050,257183460,1,0,1,257183460,19575199-1053050,299.466652,-10.884731,9.73,0.024,9.167,0.024,8.843,0.023,2451116.5104,4189472728736232704,1237668709457330617,17222836,1,0,1,17222836,1237668709457330617,299.4659647450276,-10.885257281635852,53530.0,13.805717,0.0021210331,15.681691,0.026611647,12.41873,0.0014026773,6,4189472728736232704,J195751.69-105308.3,319877916,1,0,1,319877916,J195751.69-105308.3,299.4653968,-10.8856402,8.662,0.024,8.48,0.02,8.33,0.024,0000,55396.92738055,55396.92738055,55305.83270152,
107.70447831731765,-14.431726353327024,3032390401547521024,42.80251360948318,0.048043061774046866,-472.54418392222493,0.06172593317644828,303.8488408072981,0.05940522221358673,9.364349,0.04184338,0.0,12,30,261,0.04184338,1.6726418,0.8540611,3032390401547521024,07104963-1425595,244543917,1,0,1,244543917,07104963-1425595,107.706803,-14.433195,7.483,0.041,6.762,0.061,6.629,0.018,2450900.5576,3032390401547521024,1237676584271807770,9816630,1,0,1,9816630,1237676584271807770,107.7054640540826,-14.432362777374943,54453.0,9.255478,1.9954212E-4,8.695693,1.7963053E-4,8.689401,2.0150382E-4,3,3032390401547521024,J071049.24-142555.8,298533610,1,0,1,298533610,J071049.24-142555.8,107.7051768,-14.4321731,6.546,0.063,6.543,0.021,6.538,0.017,hh00,55292.5540375,55292.5540375,55292.54524227,
8.907795479157349,-10.072091022294455,2425675006249455744,35.36008378845264,0.1886404552051011,-192.7884126914521,0.4188969560986767,-67.30413369236335,0.28335977644638405,10.864399,0.21840595,0.6211461213101441,9,19,150,0.21840595,2.3214397,1.0763559,2425675006249455744,00353808-1004186,260001009,1,0,1,260001009,00353808-1004186,8.908688,-10.071843,8.327,0.02,7.736,0.026,7.483,0.02,2451114.6194,2425675006249455744,1237652947455770655,19401859,1,0,1,19401859,1237652947455770655,8.908553715443531,-10.07184601161236,51814.0,11.141412,2.0199128E-4,12.783649,6.763856E-4,10.024327,3.348846E-4,6,2425675006249455744,J003537.93-100419.1,324754989,1,0,1,324754989,J003537.93-100419.1,8.9080622,-10.0719995,7.28,0.036,7.253,0.02,7.179,0.018,0000,55372.42400331,55462.18343713,55372.42400331,224953874
35.092333024712204,-8.141188057433652,2486558126175258880,40.68071806154288,0.0895388425556732,-204.045377848768,0.15630422206077868,-210.49705836986274,0.13988151587886835,14.073655,0.14446262,0.5677798281365747,10,17,150,0.14446262,3.1550531,1.2987499,2486558126175258880,02202235-0808253,266616416,1,0,1,266616416,02202235-0808253,35.093166,-8.140363,10.848,0.022,10.345,0.022,10.033,0.023,2451839.7851,2486558126175258880,1237652901300142194,25413657,1,0,1,25413657,1237652901300142194,35.093183475726484,-8.14033656997085,51813.0,15.193135,0.0017164655,13.370023,7.3267135E-4,12.436741,0.015093939,6,2486558126175258880,J022022.22-080827.2,336337676,1,0,1,336337676,J022022.22-080827.2,35.0925992,-8.1409055,9.837,0.023,9.64,0.02,9.457,0.032,0000,55419.22816687,55419.22816687,55313.8239824,1179015671
349.8973779375899,-8.888776872674253,2438094574200528512,39.2002497972556,0.06165629493627007,-243.79406514970913,0.11028844421195927,-165.59971428506373,0.09190044676611672,13.449708,0.10748897,0.32194684215612646,10,15,128,0.10748897,2.958005,1.2474995,2438094574200528512,23193564-0853168,264072012,1,0,1,264072012,23193564-0853168,349.898532,-8.888009,10.419,0.021,9.858,0.024,9.582,0.021,2451097.5602,2438094574200528512,1237653442447671357,22973703,1,0,1,22973703,1237653442447671357,349.89837863979733,-8.888134524528677,51865.0,14.696173,0.0012183423,12.699225,4.8853015E-4,11.856425,0.012796347,6,2438094574200528512,J231935.45-085318.7,331858024,1,0,1,331858024,J231935.45-085318.7,349.8977099,-8.8885463,9.386,0.024,9.207,0.02,9.017,0.031,0000,55445.16612673,55445.16612673,55356.1444397,
7.1630160300079035,-6.667108017715324,2430731144829585280,74.774939023992,0.09949327804696563,-327.51737109143465,0.18929637939637697,-800.4891126639305,0.12215785670447088,10.894677,0.10278573,0.24488838937814347,10,19,163,0.10278573,2.7161512,1.1785278,2430731144829585280,00283948-0639481,271579804,1,0,1,271579804,00283948-0639481,7.16452,-6.663365,8.038,0.02,7.504,0.057,7.189,0.016,2451112.6487,2430731144829585280,1237680122783399948,31100023,1,0,1,31100023,1237680122783399948,7.163426514284737,-6.665892408874066,55102.0,15.766354,0.029117847,11.572427,0.0029873983,10.110056,3.1823397E-4,3,2430731144829585280,J002839.22-063957.7,345174713,1,0,1,345174713,J002839.22-063957.7,7.1634516,-6.6660285,6.972,0.048,6.928,0.021,6.841,0.017,0000,55372.26994219,55387.23539438,55372.26994219,
341.6127910647751,-6.659646300203711,2611463952760479232,50.223210217320606,0.09591859579821198,694.9904247073531,0.13585428120643853,-539.7179979547915,0.12043887113291833,14.185201,0.13246492,0.4569242536865387,9,14,122,0.13246492,3.428484,1.3506689,2611463952760479232,22462632-0639259,271600019,1,0,1,271600019,22462632-0639259,341.609703,-6.657208,10.79,0.023,10.191,0.025,9.85,0.021,2451327.8806,2611463952760479232,1237680263992311891,31130435,1,0,1,31130435,1237680263992311891,341.6116772045519,-6.6587865259773364,55120.0,15.329067,0.021139206,13.476958,0.003371938,12.419535,0.015392507,6,2611463952760479232,J224626.84-063932.0,345217363,1,0,1,345217363,J224626.84-063932.0,341.6118432,-6.6589027,9.666,0.023,9.475,0.02,9.289,0.038,0000,55428.71661766,55428.71661766,55347.35416032,
324.45503733409373,-7.95409035228646,2667332230216493440,46.59307586641152,0.2467131009764277,19.430282137508097,0.21686355645719985,-5.245090164282608,0.2346093913554528,13.042084,0.32037193,0.6250702443286228,7,13,115,0.32037193,2.8733997,1.2303133,2667332230216493440,21374917-0757145,267247309,1,0,1,267247309,21374917-0757145,324.454912,-7.954035,10.019,0.021,9.507,0.027,9.186,0.023,2451086.5131,2667332230216493440,1237656533752283261,26055167,1,0,1,26055167,1237656533752283261,324.45495552066313,-7.95408880921341,52171.0,13.781312,7.5003423E-4,13.914902,0.0010150524,11.503624,0.01934165,6,2667332230216493440,J213749.19-075714.6,337456445,1,0,1,337456445,J213749.19-075714.6,324.4549999,-7.9540801,9.025,0.022,8.847,0.019,8.701,0.026,0000,55413.0442138,55413.0442138,55331.68154164,1331246958
228.5698913168366,-9.977949081266477,6319402059411076224,44.1962573906523,0.08094422229940282,-113.52889799237002,0.13109367703960903,-114.07397972355503,0.11054547649887551,12.706012,0.07440617,0.16058554380874032,10,15,124,0.07440617,2.988389,1.2603436,6319402059411076224,15141690-0958386,260327692,1,0,1,260327692,15141690-0958386,228.570427,-9.977414,9.665,0.029,9.087,0.026,8.78,0.023,2451253.8473,6319402059411076224,1237674655833063547,19668138,1,0,1,19668138,1237674655833063547,228.57012673765118,-9.977686371152462,54210.0,14.655843,0.003251919,11.928093,9.6443977E-4,11.075841,0.011425458,6,6319402059411076224,J151416.81-095840.0,325321021,1,0,1,325321021,J151416.81-095840.0,228.5700567,-9.9777838,8.599,0.023,8.403,0.02,8.241,0.02,0000,55328.70772194,55325.13885453,55312.33936308,336468663
